,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
15192,12/2016,149.65063716550236,2989.3194047185857,3.51,20.967493718343945,25.6263,0.034020005436524
15193,12/2016,150.47743757696065,3020.328444777243,3.74,20.96946641619129,25.647,0.0325062816560546
15194,12/2016,152.4246104895676,3072.4432584603205,3.9725,20.971971058891405,25.6922,0.0305335838087117
15195,12/2016,155.49323752956764,3145.631758116639,4.205,20.975090505678622,25.7629,0.0280289411085945
15196,12/2016,159.71813661337302,3240.596020545237,4.4375,20.978922164509672,25.8607,0.0249094943213741
15197,12/2016,165.07889737309597,3356.900792157869,4.67,20.98357586570236,25.9862,0.0210778354903276
15198,12/2016,171.42849501371853,3491.4658361803763,4.9,20.989162983558614,26.137,0.0164241342976403
15199,12/2016,178.64759207518637,3642.041130631442,5.13,20.995805385452464,26.3116,0.010837016441382
15200,12/2016,186.44258445097327,3802.9183351701577,5.359999999999999,21.003622857497245,26.5045,0.0041946145475364
15201,12/2016,194.47589634978527,3967.63396739621,5.59,21.012725645542805,26.7093,0.0
15202,12/2016,193.5425449655405,3933.12165067331,5.435,21.02204175632068,26.7275,0.0
15203,12/2016,192.79238275404887,3902.868451016355,5.279999999999999,21.03143971884828,26.7416,0.0
15204,12/2016,192.1950315560217,3876.1442044222567,5.125,21.04081257471565,26.7523,0.0
15205,12/2016,191.72468189248264,3852.336663511159,4.97,21.050073411033868,26.7602,0.0
15206,12/2016,191.3617479707648,3830.975205736837,4.815,21.059151717646586,26.7659,0.0
15207,12/2016,191.09093470500693,3811.689150904527,4.66,21.06799043386556,26.7697,0.0
15208,12/2016,190.9008036244418,3794.1951688408894,4.505,21.07654354934776,26.7719,0.0
15209,12/2016,190.7825890731157,3778.271895505738,4.35,21.084774152918367,26.773,0.0
15210,12/2016,190.7932696210376,3765.098291614543,4.1975,21.092660460218625,26.7745,0.0
15211,12/2016,190.86869928644555,3753.253400760203,4.045,21.1001807771044,26.7754,0.0
15212,12/2016,191.0094919440782,3742.710838234216,3.8925,21.10731844882793,26.7761,0.0
15213,12/2016,191.21892503124397,3733.495667264721,3.74,21.114061114151426,26.7768,0.0
15214,12/2016,189.3976392702436,3681.5287844931713,3.505,21.12014891332292,26.7347,0.0
15215,12/2016,187.61877072266049,3630.9468261880006,3.27,21.125528501959185,26.6898,0.0
15216,12/2016,185.86402184103903,3581.359172454443,3.035,21.13015624076716,26.6422,0.0
15217,12/2016,184.11606370364865,3532.407143881757,2.8,21.13399631923271,26.592,0.0
15218,12/2016,182.36037187107243,3483.7972669071933,2.565,21.13701920250841,26.5395,0.0
