,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
5465,2/2016,484.6119637664546,6784.459659975718,2.43,20.981844856281423,38.5584,0.0182569889124692
5466,2/2016,485.93132609406257,6789.765852709665,2.3875,20.98184856764266,38.59,0.0182062167305829
5467,2/2016,487.1148653443991,6793.759048678866,2.345,20.98174496173518,38.618,0.0182550382648187
5468,2/2016,488.092343714344,6795.620609420769,2.3025,20.98148080094949,38.6417,0.0185191990505089
5469,2/2016,488.8257606095569,6794.942934829376,2.26,20.980999854291447,38.6603,0.0190001457085529
5470,2/2016,490.19283831918943,6805.488373118041,2.24,20.980635405382763,38.6877,0.0193645946172367
5471,2/2016,491.3950244041022,6814.065740934384,2.22,20.980377310575616,38.713,0.0196226894243842
5472,2/2016,492.48877403333074,6821.404332313474,2.2,20.98020886483774,38.7367,0.0197911351622614
5473,2/2016,493.5046249345042,6827.896261590695,2.18,20.980110672307188,38.759,0.0198893276928124
5474,2/2016,494.4493940883801,6833.638637971038,2.16,20.98006230375577,38.7798,0.0199376962442343
5475,2/2016,495.3084932416704,6838.47358813952,2.14,20.98004230265364,38.7989,0.0199739317378409
5476,2/2016,496.04836140099496,6842.026599773436,2.12,20.980027004190497,38.816,0.0199908651097686
5477,2/2016,496.6195054122157,6843.749253687481,2.1,20.979988566695727,38.8302,0.0200114333042726
5478,2/2016,496.9611084812644,6842.977533006895,2.08,20.97989260397163,38.8406,0.0201073960283686
5479,2/2016,497.00863584260617,6839.021949910838,2.06,20.97969586667732,38.8462,0.0203041333226785
5480,2/2016,496.7063586823315,6831.31114891852,2.04,20.97934456447064,38.846,0.0206554355293633
5481,2/2016,496.027454900324,6819.619720819776,2.02,20.97877415841397,38.8392,0.021225841586034
5482,2/2016,496.1517421439239,6822.296091475373,2.03,20.978434741352498,38.8438,0.0215652586475023
5483,2/2016,495.97276802926064,6821.405725201161,2.04,20.97831357444951,38.845,0.0216864255504916
5484,2/2016,495.5001193305486,6817.170889476724,2.05,20.978381959900037,38.8424,0.0216864255504916
5485,2/2016,494.6631379669234,6808.8608272109705,2.06,20.97859629776117,38.8345,0.0216180400999661
