,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
4622,2/2016,207.73929731032385,3800.037045366379,1.1949999999999998,21.264013519080997,26.9545,0.0
4623,2/2016,209.16878339250255,3823.373921498921,1.19,21.262775711047727,26.9789,0.0
4624,2/2016,210.62649392875235,3847.135880425256,1.185,21.26158588167545,27.0039,0.0
4625,2/2016,212.10207296829523,3871.147863421202,1.18,21.26044558107876,27.0292,0.0
4626,2/2016,213.54241007910076,3894.522907702853,1.1749999999999998,21.259356278459887,27.0541,0.0
4627,2/2016,215.006798147841,3918.251173179091,1.17,21.258319372813595,27.0795,0.0
4628,2/2016,216.5077587748566,3942.5390679423167,1.165,21.257336277516725,27.1056,0.0
4629,2/2016,218.02761933555163,3967.090208160677,1.16,21.256408413327705,27.1321,0.0
4630,2/2016,221.52608533034092,4030.924310291044,1.2275,21.25573493825441,27.1963,0.0
4631,2/2016,225.0008158530636,4094.321592168413,1.295,21.255318799939023,27.2607,0.0
4632,2/2016,228.4945693241312,4157.989508489583,1.3624999999999998,21.255162826239623,27.3257,0.0
4633,2/2016,232.0064251601108,4221.909596090993,1.43,21.255269776401587,27.3915,0.0
4634,2/2016,235.5114526675053,4285.667405343425,1.4975,21.25564231315655,27.4576,0.0
4635,2/2016,238.9525463921297,4348.321066559332,1.565,21.25628291188472,27.5231,0.0
4636,2/2016,242.37086787639404,4410.551279261729,1.6324999999999998,21.25719384954667,27.5886,0.0
4637,2/2016,245.74552217471768,4472.014956629399,1.7,21.258377234057395,27.6539,0.0
4638,2/2016,249.06634858044316,4532.547251595513,1.7675,21.25983497485301,27.7187,0.0
4639,2/2016,252.3571429409062,4592.540810858873,1.835,21.261568805469143,27.7834,0.0
4640,2/2016,255.5930252181616,4651.589216890178,1.9025,21.26358028801025,27.8476,0.0
4641,2/2016,258.73540200690144,4709.064174654641,1.97,21.265870747219527,27.9107,0.0
4642,2/2016,259.59623285756345,4720.691815244691,1.955,21.26821621808086,27.9303,0.0
4643,2/2016,260.4023711230574,4731.404118904478,1.94,21.270615730386996,27.949,0.0
4644,2/2016,261.1682185165904,4741.439469898071,1.925,21.27306823433924,27.967,0.0
4645,2/2016,261.8640218326884,4750.316127211014,1.91,21.27557258607772,27.9839,0.0
4646,2/2016,262.5413992795021,4759.138369597822,1.8975,21.278134320006632,28.0008,0.0
4647,2/2016,263.18140911613165,4767.339953409646,1.885,21.280752108492287,28.0171,0.0
4648,2/2016,263.77317647555066,4774.746451908852,1.8725,21.28342456816629,28.0325,0.0
4649,2/2016,264.31460344620734,4781.326512358226,1.86,21.28615024769389,28.0472,0.0
4650,2/2016,264.69518508128203,4785.029557320079,1.845,21.288920759914323,28.0591,0.0
4651,2/2016,264.9970460458933,4787.455674555366,1.83,21.291734337883675,28.0697,0.0
4652,2/2016,265.232868839359,4788.813879275646,1.815,21.2945891100994,28.0792,0.0
4653,2/2016,265.39976204896664,4789.060304812456,1.8,21.297483115351973,28.0876,0.0
4654,2/2016,266.11513661957,4800.5459028744,1.8075,21.30047569033795,28.1067,0.0
4655,2/2016,266.74807389979566,4810.690309493559,1.815,21.303565211393533,28.1245,0.0
4656,2/2016,267.2961085887774,4819.45673866464,1.8225,21.306749917426075,28.1411,0.0
4657,2/2016,267.79029828516497,4827.349583360321,1.83,21.310027947149614,28.1567,0.0
4658,2/2016,268.21792604933694,4834.165210064649,1.8375,21.31339736293593,28.1714,0.0
4659,2/2016,268.5891921341977,4840.070140749391,1.845,21.31685615105883,28.1852,0.0
4660,2/2016,268.9172422802232,4845.277938168707,1.8525,21.32040225059955,28.1982,0.0
4661,2/2016,269.1554595765047,4849.037664346624,1.86,21.324033517498357,28.2099,0.0
4662,2/2016,269.3310442144502,4851.790007634618,1.8675,21.327747706566896,28.2206,0.0
4663,2/2016,269.4533597800459,4853.687149529347,1.875,21.331542515775503,28.2304,0.0
4664,2/2016,269.5267393103886,4854.799823306765,1.8825,21.335415603603558,28.2394,0.0
4665,2/2016,269.5532389962817,4855.161864117262,1.89,21.33936459765678,28.2476,0.0
4666,2/2016,264.84110408112326,4761.192748471435,1.7275,21.342923262780065,28.1653,0.0
4667,2/2016,260.0328602157101,4666.031775238234,1.565,21.3460851039054,28.0811,0.0
4668,2/2016,255.12969628681984,4569.696104379376,1.4025,21.348843694751405,27.9949,0.0
4669,2/2016,250.15037342101107,4472.486043217867,1.24,21.351192697822352,27.907,0.0
4670,2/2016,245.17641399155147,4375.959517183326,1.08,21.353132716012784,27.8189,0.0
4671,2/2016,240.12526007385804,4278.527122694792,0.92,21.354657703608424,27.729,0.0
4672,2/2016,235.0047767462536,4180.312785654586,0.76,21.355761716118888,27.6376,0.0
4673,2/2016,229.81019095620172,4081.236170111256,0.6,21.356438909855825,27.5445,0.0
4674,2/2016,224.4790515696304,3980.057451090647,0.4375,21.35667672106337,27.4486,0.0
4675,2/2016,219.06542693154745,3877.8837220722153,0.2749999999999999,21.356469435213253,27.3508,0.0
4676,2/2016,213.58908248959483,3775.026684673475,0.1124999999999999,21.355811430752578,27.2516,0.0
4677,2/2016,208.0556048598633,3671.574509803163,-0.05,21.354697205526225,27.1509,0.0
4678,2/2016,204.56484012368887,3607.6095567561383,-0.14,21.353319201838893,27.0872,0.0
4679,2/2016,200.98350843793727,3542.28559874248,-0.2299999999999999,21.351673846363664,27.0217,0.0
4680,2/2016,197.29666233047644,3475.3554072028555,-0.32,21.34975749068816,26.9541,0.0
4681,2/2016,193.51122015085767,3406.9259602837856,-0.41,21.34756640443066,26.8846,0.0
4682,2/2016,189.5698694940318,3335.8629681286125,-0.5025,21.345089981173043,26.812,0.0
4683,2/2016,185.5634279475066,3263.840374976709,-0.595,21.34232436058322,26.7379,0.0
4684,2/2016,181.4902713926577,3190.826492734711,-0.6875,21.33926568783022,26.6623,0.0
4685,2/2016,177.36641997665382,3117.0774125152693,-0.78,21.33591012918965,26.5854,0.0
4686,2/2016,173.27518008755385,3044.1312168578334,-0.87,21.332260721423395,26.5088,0.0
4687,2/2016,169.15096774240817,2970.724846824082,-0.96,21.32831380641615,26.4311,0.0
4688,2/2016,165.006659066188,2897.0652086055397,-1.0499999999999998,21.324065810711783,26.3526,0.0
4689,2/2016,160.75796915255472,2821.7647557640626,-1.14,21.31951316045834,26.272,0.0
4690,2/2016,158.19715040764908,2778.435073545953,-1.1675,21.314822658838604,26.2214,0.0
4691,2/2016,155.51488578869743,2733.0754309245253,-1.1949999999999998,21.30999189412259,26.1687,0.0
4692,2/2016,152.67343300440598,2685.052642777994,-1.2225,21.305018216053178,26.113,0.0
4693,2/2016,149.73770944581628,2635.425850477201,-1.25,21.299898774185056,26.0555,0.0
4694,2/2016,146.67809951398038,2583.694682479506,-1.2775,21.294630562522844,25.9956,0.0
4695,2/2016,143.52475766438943,2530.3467621849995,-1.3050000000000002,21.28921042444235,25.9338,0.0
