,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
15050,12/2016,1024.6485373158064,11766.28298626382,0.915,21.035300360620607,44.5047,,682.75,0.0
15051,12/2016,162.753417832875,2352.8899045154626,0.92,21.04014292081301,35.8282,,682.75,0.0
15052,12/2016,290.30760334184794,4112.359930097829,0.925,21.023814379884115,36.6064,,682.75,0.0
15053,12/2016,560.0132331764064,7389.497638274459,0.93,21.003108705313405,39.2939,False,682.75,0.0
15054,12/2016,260.63643748190407,3772.9217988211503,0.9375,20.976690713973635,35.7957,,682.75,0.0233092860263646
15055,12/2016,315.3205308127771,4546.9888119337065,0.945,20.93918357115088,35.9496,,682.75,0.0608164288491188
15056,12/2016,980.6442320199144,11749.226828135868,0.9525,20.91417618609989,42.9472,,682.75,0.0858238139001059
15057,12/2016,497.1165628889973,6646.54600963037,0.96,20.902685463341815,38.8277,False,682.75,0.0973145366581818
15058,12/2016,683.5737236843946,8693.737785610716,1.0699999999999998,20.89746155922136,40.8235,,682.75,0.1025384407786411
15059,12/2016,362.2485231603672,5043.876157626777,1.18,20.89262809345983,37.5161,,682.75,0.1073719065401697
15060,12/2016,994.1152309251968,11713.058048458435,1.29,20.898241755248726,43.9248,,682.75,0.1080085026293709
15061,12/2016,1002.1086604145814,11603.927729325023,1.4,20.928071455488883,44.693,False,682.75,0.1017582447512737
15062,12/2016,254.70597253838253,3581.52523967065,1.51,20.956087782504863,37.4744,,682.75,0.0719285445111168
15063,12/2016,1023.999711079064,11865.779862274065,1.62,20.986420031807985,44.8932,,682.75,0.0439122174951371
15064,12/2016,438.0315658707417,5835.40440852002,1.73,21.021886586503225,39.7428,,682.75,0.0135799681920154
15065,12/2016,201.43964085692352,2938.8044771071263,1.84,21.039880618732056,36.4006,False,682.75,0.0
15066,12/2016,91.75027019841548,1437.5894552362818,1.95,21.03215219538139,33.7674,,682.75,0.0
15067,12/2016,455.8059945869264,6451.272019019418,2.06,21.013198082166586,37.775,,682.75,0.0
15068,12/2016,268.7056136450298,4059.414858026293,2.17,20.99068451071045,35.3897,,682.75,0.0093154892895448
15069,12/2016,938.942565779334,11718.322199284006,2.28,20.98100155012633,42.763,False,682.75,0.0191853479302643
