,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
10232,10/2016,0.9987662505290892,23.594792203828128,7.577500000000001,21.31862815863333,22.3314,,1966.6,0.0
10233,10/2016,267.9013961427849,5566.154684910425,7.415,21.316451187821947,27.6313,,1966.6,0.0
10234,10/2016,9.952333586505038,232.3367342690354,7.252499999999999,21.31403819292067,22.5497,,1966.6,0.0
10235,10/2016,114.7117307673388,2535.019716334068,7.09,21.311185173177893,24.7448,False,1966.6,0.0
10236,10/2016,96.07566699877292,2134.682578276233,6.9275,21.30803072678074,24.3676,,1966.6,0.0
10237,10/2016,3.8474454456373577,89.1869957190062,6.765000000000001,21.304408905736327,22.4095,,1966.6,0.0
10238,10/2016,5.132120654537853,118.51747475750558,6.6025,21.300190848207475,22.4236,,1966.6,0.0
10239,10/2016,-0.1620182585925134,-3.739979265733533,6.44,21.295383814101395,22.2928,False,1966.6,0.0
10240,10/2016,2.9842300972503035,68.7693862276165,6.42,21.290381342394607,22.3478,,1966.6,0.0
10241,10/2016,-0.9703243726184372,-22.403646789708773,6.4,21.285188007914915,22.2466,,1966.6,0.0
10242,10/2016,323.5741651382761,6444.470957689715,6.380000000000001,21.28025335466459,28.4323,,1966.6,0.0
10243,10/2016,127.59626770626772,2762.560145022379,6.36,21.275755579640236,24.9421,False,1966.6,0.0
10244,10/2016,54.02275188305783,1210.7528531209095,6.34,21.271318928733415,23.4625,,1966.6,0.0
10245,10/2016,3.687206270539424,84.72764169953732,6.32,21.26675593400359,22.3781,,1966.6,0.0
10246,10/2016,2.7050090181088464,62.183261620787775,6.300000000000001,21.261991401198063,22.3423,,1966.6,0.0
10247,10/2016,9.728540471599452,222.8173047104611,6.28,21.2570411010002,22.482,False,1966.6,0.0
10248,10/2016,297.8828015293362,5980.828800574711,6.26,21.25232234808328,27.9897,,1966.6,0.0
10249,10/2016,696.4595986402353,12083.725377571956,6.24,21.248646431319106,33.8755,,1966.6,0.0
10250,10/2016,689.1241369180242,11960.595267319386,6.220000000000001,21.2463879155885,33.8432,,1966.6,0.0
10251,10/2016,28.55592250248559,643.8655808461441,6.2,21.244702877901183,23.0772,False,1966.6,0.0
10252,10/2016,-6.791939503583951,-156.13679295854428,6.2525,21.24293454259129,22.298,,1966.6,0.0
10253,10/2016,531.2482875710435,9732.679980250572,6.305,21.241721021971173,31.7598,,1966.6,0.0
10254,10/2016,5.899283074045051,134.89571888497204,6.3575,21.24105636793608,22.6223,,1966.6,0.0
10255,10/2016,16.449595593345553,374.69688265126695,6.41,21.240282626660477,22.8352,False,1966.6,0.0
10256,10/2016,-0.406622591296798,-9.356009678266116,6.4625,21.2393952429172,22.4522,,1966.6,0.0
10257,10/2016,5.316234662622704,122.14973931118467,6.515000000000001,21.238382897979733,22.5605,,1966.6,0.0
10258,10/2016,80.39449618836208,1782.1775267474848,6.5675,21.237376386446694,24.1357,,1966.6,0.0
10259,10/2016,-3.217536548962265,-74.4530544733921,6.62,21.23636227908349,22.3532,False,1966.6,0.0
10260,10/2016,47.58388339819082,1074.6829788567916,6.67,21.23528878591517,23.4371,,1966.6,0.0
10261,10/2016,426.27718422781805,8184.361123179946,6.720000000000001,21.234733427645168,30.2454,,1966.6,0.0
10262,10/2016,-1.8551700649570235,-43.00949781516076,6.7700000000000005,21.234596075801893,22.4089,,1966.6,0.0
10263,10/2016,2.975542616770692,68.91357899506995,6.82,21.23430812950176,22.4983,False,1966.6,0.0
10264,10/2016,1.983795799956023,45.96423571605963,6.7975,21.233687623445903,22.4595,,1966.6,0.0
10265,10/2016,6.217332480986183,143.7278802187742,6.775,21.232750043829267,22.5365,,1966.6,0.0
10266,10/2016,54.5946970341902,1231.5409392717463,6.7525,21.23158754510277,23.5638,,1966.6,0.0
10267,10/2016,3.1583577293986838,73.09556724866935,6.73,21.23020082220065,22.4467,False,1966.6,0.0
10268,10/2016,39.32236806145061,893.4039818040668,6.7075000000000005,21.22857415680711,23.2172,,1966.6,0.0
10269,10/2016,46.32542791880607,1048.565600225214,6.6850000000000005,21.226781820305884,23.357,,1966.6,0.0
10270,10/2016,682.3225920752108,11971.815154430702,6.6625,21.225599240950928,33.8215,,1966.6,0.0
10271,10/2016,2.208292044847691,50.97438544698552,6.64,21.22492502537993,22.4766,False,1966.6,0.0
10272,10/2016,-4.474640679303096,-103.6374980297143,6.6175,21.223912869984265,22.3114,,1966.6,0.0
10273,10/2016,-2.9074517542157263,-67.2811435019325,6.595,21.22256515152186,22.3282,,1966.6,0.0
10274,10/2016,-2.6644743933591637,-61.64625858685859,6.5725,21.220895142391267,22.3161,,1966.6,0.0
10275,10/2016,0.5183585650077325,11.972297877148067,6.55,21.21891830729217,22.3695,False,1966.6,0.0
10276,10/2016,21.18097461123957,484.2504424034444,6.55,21.21674253797537,22.8059,,1966.6,0.0
10277,10/2016,264.56158886001987,5408.158593206927,6.55,21.21474960129012,27.5145,,1966.6,0.0
10278,10/2016,1.7304122322989008,39.94129748845053,6.55,21.212897692361803,22.3966,,1966.6,0.0
10279,10/2016,454.1293808786564,8610.718290694755,6.55,21.211410298562217,30.5974,False,1966.6,0.0
10280,10/2016,21.272973962666327,485.6773917265339,6.547499999999999,21.210291135257403,22.8631,,1966.6,0.0
10281,10/2016,678.606954405363,11886.549274733592,6.545,21.209763785781885,33.78,,1966.6,0.0
10282,10/2016,2.840358789704866,65.34839871172099,6.5425,21.20976790747465,22.5291,,1966.6,0.0
10283,10/2016,-1.4995700896162425,-34.59031190080116,6.54,21.209467815106283,22.4156,False,1966.6,0.0
10284,10/2016,3.242501931073218,74.63953531795723,6.5375,21.20887433090041,22.5021,,1966.6,0.0
10285,10/2016,39.52380109897722,893.5562974735046,6.535,21.208061657933094,23.2702,,1966.6,0.0
10286,10/2016,683.3662837845992,11944.129823008898,6.532500000000001,21.207862146110863,33.8543,,1966.6,0.0
10287,10/2016,92.22940961503996,2028.6823942501428,6.53,21.2083233118931,24.4308,False,1966.6,0.0
10288,10/2016,1.1814432245762136,27.25443066944259,6.6475,21.20892636899901,22.5103,,1966.6,0.0
10289,10/2016,36.09629411854471,820.4382396448771,6.765000000000001,21.209589024247645,23.2525,,1966.6,0.0
10290,10/2016,4.208209291537384,97.47857002147452,6.8825,21.210317940173216,22.548,,1966.6,0.0
