,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
12592,11/2016,42.87919523888971,835.6521583677097,0.95,21.14718834459573,24.1693,False,1966.6,0.0
12593,11/2016,381.27953352698296,6544.269570242032,1.2225,21.14804489419305,29.5011,,1966.6,0.0
12594,11/2016,794.1355710399058,11922.166228047654,1.495,21.156723901565364,34.9623,,1966.6,0.0
12595,11/2016,573.1429230171709,9150.895473214465,1.7675,21.173584281441546,32.8595,,1966.6,0.0
12596,11/2016,2.6432595226788584,52.68809783596655,2.04,21.18981028464634,24.3078,False,1966.6,0.0
12597,11/2016,14.262433248388202,287.3461655725848,2.3125,21.20022399972501,24.1326,,1966.6,0.0
12598,11/2016,50.18522005033832,1008.3775725987527,2.585,21.206404514692387,24.5037,,1966.6,0.0
12599,11/2016,142.39677558004396,2776.352501776627,2.8575,21.210682929948053,25.9934,,1966.6,0.0
12600,11/2016,714.4825529448948,11375.458687259785,3.13,21.220186995137,34.3005,False,1966.6,0.0
12601,11/2016,52.47842855189384,1062.2903128717255,3.25,21.23222843987629,24.8341,,1966.6,0.0
12602,11/2016,202.3222085777652,3865.780402360813,3.37,21.242062660748765,27.3033,,1966.6,0.0
12603,11/2016,760.2954375000288,11947.335935441914,3.49,21.25709292226184,35.1578,,1966.6,0.0
12604,11/2016,38.79890279561547,791.086374194532,3.61,21.274118840885578,24.8778,False,1966.6,0.0
12605,11/2016,45.80897262257839,940.5106218690838,3.73,21.28621150552495,24.7054,,1966.6,0.0
12606,11/2016,99.99842526029532,2019.7348585632596,3.85,21.29494863599154,25.4938,,1966.6,0.0
12607,11/2016,72.86509251625516,1499.3190770260614,3.97,21.301181849095443,24.8405,,1966.6,0.0
12608,11/2016,67.22532653445596,1395.972790341329,4.09,21.30494171721248,24.5751,False,1966.6,0.0
12609,11/2016,77.37726910500437,1608.9309073451575,4.21,21.306716870046795,24.6326,,1966.6,0.0
12610,11/2016,117.54003051539942,2411.488963775249,4.33,21.307504907383727,25.3008,,1966.6,0.0
12611,11/2016,269.28907975747904,5190.686365159596,4.45,21.30981819802714,27.9707,,1966.6,0.0
12612,11/2016,139.91208999421963,2847.384428061208,4.57,21.3136099999052,25.8597,False,1966.6,0.0
12613,11/2016,86.22107515124252,1795.8548355342598,4.4750000000000005,21.3160059614248,24.8113,,1966.6,0.0
12614,11/2016,59.99273143394305,1265.46121284967,4.380000000000001,21.31619156500733,24.1962,,1966.6,0.0
12615,11/2016,110.37201637576754,2275.5485388106777,4.285,21.3148080570218,25.0559,,1966.6,0.0
12616,11/2016,722.7253811168703,11809.30402802418,4.19,21.318961067769443,34.3088,False,1966.6,0.0
12617,11/2016,143.2118836088206,2854.638303112381,4.095000000000001,21.32766043435105,26.2669,,1966.6,0.0
12618,11/2016,151.68973493913785,3011.268638704394,4.0,21.334863267814995,26.345,,1966.6,0.0
12619,11/2016,165.41321907819736,3261.182486417876,3.905,21.34101668549373,26.5366,,1966.6,0.0
12620,11/2016,146.41267619672286,2906.516389661273,3.81,21.346158738189747,26.1652,False,1966.6,0.0
12621,11/2016,123.85725770952138,2481.341218585755,3.7175,21.34991543883657,25.703,,1966.6,0.0
12622,11/2016,92.40034789709205,1877.156952679726,3.625,21.35180244191228,25.0417,,1966.6,0.0
12623,11/2016,727.2023625037793,11648.805028877428,3.5325,21.358148141094787,34.4526,,1966.6,0.0
12624,11/2016,68.49336273764702,1384.0161524961773,3.44,21.367403101292464,25.0874,False,1966.6,0.0
12625,11/2016,38.81177720153767,795.7199600911468,3.2425,21.3722003434156,24.3021,,1966.6,0.0
12626,11/2016,321.1674491106134,5839.264132176875,3.045,21.376106601919176,28.9901,,1966.6,0.0
12627,11/2016,162.54387186225475,3127.194423694592,2.8475,21.380451913466253,26.5251,,1966.6,0.0
12628,11/2016,92.97499208692854,1838.375164759272,2.65,21.382601848783708,25.2232,False,1966.6,0.0
12629,11/2016,729.6315332169044,11393.250481577425,2.455,21.388344386986937,34.3954,,1966.6,0.0
12630,11/2016,96.95679207041724,1876.556402793864,2.26,21.39658529437268,25.7183,,1966.6,0.0
12631,11/2016,135.70190454395916,2582.418431748446,2.065,21.4015729435158,26.2141,,1966.6,0.0
12632,11/2016,147.20678392086268,2782.613071525498,1.87,21.404281930972008,26.2961,False,1966.6,0.0
12633,11/2016,84.87158338904825,1644.5313494952716,1.6725,21.40434536972807,25.1046,,1966.6,0.0
12634,11/2016,119.03163190789056,2269.951173098479,1.475,21.40181023523644,25.5576,,1966.6,0.0
12635,11/2016,30.69898252572345,607.7618612445093,1.2775,21.396277132564308,23.849,,1966.6,0.0
12636,11/2016,152.91890315945383,2867.536962458776,1.08,21.38860899900233,25.8494,False,1966.6,0.0
12637,11/2016,268.6020489549058,4796.584624901647,1.0025,21.382024857849768,27.722,,1966.6,0.0
12638,11/2016,511.0049133758322,8316.192642943772,0.925,21.37983093244609,31.2857,,1966.6,0.0
12639,11/2016,-4.542843540155131,-89.83906587792244,0.8475,21.3779301846968,23.475,,1966.6,0.0
